target,task_type,fold,rmse,mae,threshold,accuracy,balanced_accuracy,f1,precision,recall,logloss,roc_auc,pr_auc
Completion_Time,regression,1,34.431617993242625,30.16348172197438,,,,,,,,,
Downtime,regression,1,5.107765901981404,3.6855871811011074,,,,,,,,,
Energy_Used,regression,1,5.061033528263741,4.008956527059836,,,,,,,,,
Machine_Wear,regression,1,28.50399855121237,24.639402929703227,,,,,,,,,
Predictive_Failure_Score,regression,1,0.3030461541750874,0.26036175265583,,,,,,,,,
Error,regression,1,0.31283860953547415,0.21099719319190374,,,,,,,,,
Completion_Time,regression,2,33.044691371867536,28.24823274250272,,,,,,,,,
Downtime,regression,2,4.679041617507368,3.5930539472432987,,,,,,,,,
Energy_Used,regression,2,4.962280336388332,3.948228561016569,,,,,,,,,
Machine_Wear,regression,2,28.707281180588897,24.678395169607697,,,,,,,,,
Predictive_Failure_Score,regression,2,0.30885974538962346,0.2708903809414458,,,,,,,,,
Error,regression,2,0.35165411043313116,0.25238011345599964,,,,,,,,,
Completion_Time,regression,3,32.8851319686647,28.517129446398744,,,,,,,,,
Downtime,regression,3,5.044705788209705,3.8556021295197405,,,,,,,,,
Energy_Used,regression,3,4.878140893065974,3.871712815533415,,,,,,,,,
Machine_Wear,regression,3,29.125152299759495,25.327634949075033,,,,,,,,,
Predictive_Failure_Score,regression,3,0.28927667730343093,0.24783400140845382,,,,,,,,,
Error,regression,3,0.4826980056450303,0.3188622979999696,,,,,,,,,
Completion_Time,regression,4,33.090822757777225,28.821298164233827,,,,,,,,,
Downtime,regression,4,5.030259595383587,3.6208009405257986,,,,,,,,,
Energy_Used,regression,4,5.180655357573211,4.133473587593043,,,,,,,,,
Machine_Wear,regression,4,28.255836963423715,24.259774601065253,,,,,,,,,
Predictive_Failure_Score,regression,4,0.29144549094632766,0.25122294511274906,,,,,,,,,
Error,regression,4,0.4825363287966586,0.3178482786476719,,,,,,,,,
Completion_Time,regression,5,33.07046679827731,28.464023424680963,,,,,,,,,
Downtime,regression,5,4.903704424024112,3.620944275387741,,,,,,,,,
Energy_Used,regression,5,5.281992099630131,4.196325700599341,,,,,,,,,
Machine_Wear,regression,5,28.56107394859797,24.65050840363373,,,,,,,,,
Predictive_Failure_Score,regression,5,0.2866971939619164,0.24498298025257392,,,,,,,,,
Error,regression,5,0.6741750886673421,0.284489988924486,,,,,,,,,
Maintenance_Required,classification,1,,,0.09999999999999999,0.18686868686868688,0.5015479876160991,0.31196581196581197,0.1848101265822785,1.0,0.47881355774992623,0.5118325628737437,0.1857875533448911
Maintenance_Required,classification,2,,,0.09999999999999999,0.19746835443037974,0.5,0.3298097251585624,0.19746835443037974,1.0,0.4941866323154104,0.5520909164442287,0.22117567951901967
Maintenance_Required,classification,3,,,0.09999999999999999,0.21515561569688768,0.5,0.35412026726057905,0.21515561569688768,1.0,0.5217824395693117,0.5168510084580351,0.21867259629166697
Maintenance_Required,classification,4,,,0.09999999999999999,0.17813765182186234,0.4978225503691653,0.2991944764096663,0.17615176151761516,0.9923664122137404,0.48800064194019777,0.4764047052934552,0.17051341699026065
Maintenance_Required,classification,5,,,0.09999999999999999,0.2073170731707317,0.5017035775127768,0.34047350620067646,0.20516304347826086,1.0,0.5071154871333309,0.5200367792231235,0.21266102630570105
Optimization_Success,classification,1,,,0.22,0.6212121212121212,0.6135048231511253,0.40476190476190477,0.30538922155688625,0.6,0.49344002376799917,0.6541516928314735,0.308347622698391
Optimization_Success,classification,2,,,0.22,0.6329113924050633,0.6424269922455041,0.40816326530612246,0.2958579881656805,0.6578947368421053,0.4635265409222189,0.6665154264972777,0.2864665874283814
Optimization_Success,classification,3,,,0.22,0.5981055480378891,0.6173317481649954,0.4277456647398844,0.31805157593123207,0.6529411764705882,0.5138850547364411,0.6557427892070713,0.3333672105735883
Optimization_Success,classification,4,,,0.22,0.5303643724696356,0.6242322724734786,0.3916083916083916,0.2616822429906542,0.7777777777777778,0.5038899068205572,0.6802647496742973,0.29874027094169514
Optimization_Success,classification,5,,,0.22,0.5826558265582655,0.5877914472171974,0.4099616858237548,0.3119533527696793,0.5977653631284916,0.5412126651050525,0.6313948491420234,0.3230694925577618
